2908ca52-0d00-4044-8773-9843e265a4f4,Can cover crops reduce my erosion?
263ba3cf-8a5e-4c7a-a611-7550ddf25dee,How much water can is lose if i let my cover crop grow for too long?
bb17d118-bc11-4b0d-87f0-2bf836cdc37e,How much soil water can i gain with well grown cover crops?
c291cdb9-60ef-4047-8602-e1a0db067423,What happens if i delay my funigicde spray for powdery mildew on mungbeans?
77bccded-79cb-4524-9ae2-13bf5b06cbf0,When should i apply fungicides for powdery mildew on mungbeans?
90c2ab11-4796-4634-9b52-39a1b203b08f,Can higher nitrogen fertiliser rates stop the decline in my soil?
9c14e4d9-f73a-44f9-9c44-93db9890c3a4,Will I still get mineralisation of nitrogen during a drought?
82819792-27d9-433d-b613-a770ea7ff736,How will growing more or less crops effect my fertilser needs? 
f496767f-a980-4ba1-9c7b-8eff7be5070b,Is my nitrogen application lost and wasted if the season turns dry?
ad232ab5-fb57-450d-9ebd-09d795065d7d,Can deep placement of P increase sorghum yield
ef4bacea-107f-42c0-b6d0-29d87ca9c8cf,Does foliar nitrogen application increase chickpea yield for late planted crops?
ec660d9c-cb0f-4281-88d8-1644081f7c79,What impact does rainfall have on the deep placement of potassium and phosphorus?
cf27bcd0-4692-4984-8b65-33fc618226a8,What effect does row spacing have on mungbean yield?
6977ba14-7cef-4b5d-b9cf-283f811d6d11,What impact does a later sowing time have on chickpea yield?
127e57df-7d86-48b3-9229-cf27b45ba08a,Can phosphorus depletion in the subsoil decrease yield?
212bfc25-eee0-4cac-b62f-3338890c3808,What impact does sowing time have on wheat yield?
3432029e-9dd1-42bf-bc48-5205ca728059,How does flowering date effect wheat yield?
4f04e456-14ce-43b1-b510-4ff5103aa4c3,Is increasing nutrient supply profitable?
2031dca5-1385-4685-aadd-8bd160aab8b1,What type of knockdown herbicide is best for sowthistle?
69088570-ebdf-4a41-952a-5e87d2c5311a,Can residual herbicides control weeds during a fallow?
3eb7d12e-7b78-4db9-9a2c-79029db98dce,What is effective for nematode control?
d1c8518a-56e5-4d26-b276-5bc8643a0150,What effect does sowing time have on wheat yield?
3bbd4cde-8a07-4285-a9c1-b77c328434a2,When does awnless barnyard grass germinate?
7d874bfb-4361-4da6-9317-a1d41f66b9fd,Does quick maturing wheat perform well in central Queensland?
62482ef9-c21a-4f71-b8b3-bf6f3953eda9,Will a combination of knockdown herbicides be more effective?
1d1ecb2c-2856-4527-83ac-23a79b1b6365,Is double cropping profitable?
e37d3688-a676-4d29-98a8-5cbdd07643e8,Is deep placement of phosphorus profitable?
955130f6-97db-41d1-9b14-c6cd2505d32f,Can more diverse rotations control nematodes?
b41c6e33-dd45-4d00-bfd7-89e8a4b5f2ca,Are combinations of herbicides better than one herbicide for broadleaf weed control?
eaf5ec37-fb28-4e65-9289-481513ab6f64,Can early planting increase sorghum yield?
9179392d-9c08-40e6-a058-7da154d1d186,Does variety or flowering period have more impact on yield?
737c62b4-7288-43d0-8f97-44a07cdcec65,Can deep placement of phosphorus increase cereal grain yield
a8467a68-b68f-4e42-9ef4-f25379a0a35a,Can cropping intensification be used to manage weeds?
63848274-0055-4cf1-a734-f7f1702b187a,How can I increase soil organic carbon in cropping soils?
18f2404f-f066-44c0-b330-c613475e03a4,Do all crops respond to deep placement of nutrients?
032d334c-ffc9-4d20-bd99-e9e05e250417,What treatment can I use for powdery mildew on mungbean?
271116d2-936b-43b8-943c-92f48f347695,What type of water use efficiency can be achieved in northern region farming systems?
15ad82f4-c56c-4298-b490-58a2faa0f535,By how much can legume crops increase soil nitrogen?
35d3f2bb-0063-4168-bb46-35cb7544fb7e,Do legumes increaes grain yield?
85053149-485a-46cb-8d6b-1f63e59472fe,What impact does time of sowing have on mungbean yield in dryland farming?
c0a12088-c5ae-4fdb-998c-77c9829f17ae,Does deep placement of phosphorus and potassium increase grain yield?
39c9ba40-8918-443c-b449-92d6d7d92301,Can residual herbicides affect chickpea growth?
2f78005e-8ed8-4060-b59c-5f63f8614042,Is it economic to apply deep-paced phosphorus and potassium
e8d2d509-adfc-43fd-a2cf-5d64027286e6,Do combinations of herbicides offer the best weed control?
c889798c-d44c-420f-aab3-1e03e0ae1482,Does deep placement of P and K increase grain yield
2f7f037e-8415-48c6-9d9c-6f06d425d560,Will cover crops reduce soil moisture in dry years
72d17241-85ad-4885-9ca2-fd6cf674f45d,What impact can in-crop rainfall have on crop response to deep-placement of P and K?
37d8446b-57b3-4983-b1bf-75c9d8cd1cfa,What impact does row spacing have on maize yield?
f3795e7b-1798-4e47-8d29-bb9f1a83d2f4,What strategies can increase the yield and profitability of mungbean crops?
38816577-9c50-4209-8832-7e75d3b75bb8,"Can deep application of P, K and S increase yield over a number of years?"
74a0327c-8c3e-48e4-9515-bd9285b4aac5,What factors are reducing yield in current farming systems?
3a9fbd6b-7684-4217-9734-6b58a1cad613,What impact does poor nodulation have on mungbean yield?
3b004763-3735-4d81-8f88-5b3daaea0b7b,Does deep banding of potassium increase yield.
2724bd37-5010-4cff-8d31-f9cd1902fe59,What can I do to maximise wheat yield?
d0cf23c8-a710-4f29-ad50-c3e891d425ff,What is the optimum temperature range for wheat flowering?
96d9bb10-0d33-4c20-8ead-40c496221d99,What crops should I choose to maximise profitability?
591ec284-301a-40fa-863f-8a14761fae9e,What implications does deep placement of phosphorus have on nitrogen supply?
fed08af6-a889-418a-ae03-f41768cc5e7e,What can be done to control powdery mildew in mungbeans?
83ffb0d8-6b41-4312-b512-d3344365a8fa,What impact does sodicity have?
48c11016-51b6-4ff6-8022-8947d0b91cbc,What planting rates are best for wheat?
e8f7f330-cd93-4cfd-96f6-67f13a3ab29d,What is the impact of planting date on wheat yield?
b641ba3d-68ad-471a-a99c-5e455c2c9505,What is the impact of row spacing on plant populations?
b2f07235-890b-4dfa-b5fa-434df3be5468,What wheat variety is best when N availability is high? 
92dcc535-9f52-42d0-8ebe-c3f1f21c5ab9,Is maize or sorghum a hardier crop?
6a70d76e-b491-482f-a664-3a1c54f48d8b,What is causing a decline in soil organic carbon in cropping soils?
503b97b3-1d6b-45e9-bf56-f16a9fce1ff1,What plant populations are best for pulse crops?
3649bbb1-2e56-4b56-ba5c-1f6a79766d50,When will crops respond to deep palcement of P?
d2d8a904-8f8b-4a14-adf3-5a08c63c0978,What companion plants should you plant with vetches when growing hay?
d3123754-b016-4a58-bded-27e8022d6b7e,By what mechanism does lime application increase clover yield?
67e83cbb-41c2-4d81-8100-eb5c80fe501b,Should i apply nitrogen to make sure pastures do a better job of building soil organic carbon?
bbd9ed9f-f210-4e81-9d7c-fe612d21aae3,Is deep phosphorus economic in Queensland and northern New South Wales?
10a7e5bb-ca27-4123-9ae4-338047e9454a,How are deep P responses effected by wet and dry seasons?
20c96350-27f2-48a8-ac1b-78d699343600,Can i get a deep phosphorus response if my subsoil bicarbonate phosphorus levels are 5 mg/kg?
6504fbbc-d62f-4ce5-aa73-756b526daa94,What are the benefits of having pasture legumes and green manures in grain cropping systems? 
8f2f1f17-71ae-4b27-8601-52e04f7df2e7,How can in minimise nematodes in my grain farm?
cf339535-3afe-4d36-b113-6350197c274b,What is the biggest drivers of fallow efficiency in central west New South Wales
eaa011e0-53ca-4a6f-b125-40772f58d519,when is the best time to remove lucerne in the northern grain region cropping systems?
8ef50450-c493-418f-accc-53185b4acd14,How much soil nitrate does it take to stop nodulation of mungbeans
eb688509-512c-4347-b40a-2d1c5c15d020,Do deep phosphorus fertislier applications work on the western downs?
2af014ef-5164-43d9-be32-4d53941c5cd7,Is deep phosphorus economic on the western downs?
