d23dc832-2051-452f-a669-291b78180479,water use of cover crops
fb30edf4-8710-41cc-b5b5-5d5127c44956,cover crops
2908ca52-0d00-4044-8773-9843e265a4f4,erosion
263ba3cf-8a5e-4c7a-a611-7550ddf25dee,cover crop mismanagement
bb17d118-bc11-4b0d-87f0-2bf836cdc37e,cover crops
c291cdb9-60ef-4047-8602-e1a0db067423,delaying fungicide on mungbeans
77bccded-79cb-4524-9ae2-13bf5b06cbf0,powdery mildew on mungbeans
90c2ab11-4796-4634-9b52-39a1b203b08f,Nitrogen depletion in farming systems
0f0a4f68-4038-48a8-8e40-991d7998483e,soil nitrogen in cropping sequences
9c14e4d9-f73a-44f9-9c44-93db9890c3a4,mineralisation in droughts
82819792-27d9-433d-b613-a770ea7ff736,nitrogen and crop intensity
f496767f-a980-4ba1-9c7b-8eff7be5070b,loss of applied nitrogen after poor crops
ad232ab5-fb57-450d-9ebd-09d795065d7d,deep palcement phosphorus sorghum
ef4bacea-107f-42c0-b6d0-29d87ca9c8cf,foliar nitrogen chickpea yield
ec660d9c-cb0f-4281-88d8-1644081f7c79,deep placement potassium yield
cf27bcd0-4692-4984-8b65-33fc618226a8,mungbean yield row spacing
6977ba14-7cef-4b5d-b9cf-283f811d6d11,in-crop rainfall chickpea yield
127e57df-7d86-48b3-9229-cf27b45ba08a,subsoil P yield rainfall
212bfc25-eee0-4cac-b62f-3338890c3808,sowing time yield 
3432029e-9dd1-42bf-bc48-5205ca728059,flowering date wheat yield
4f04e456-14ce-43b1-b510-4ff5103aa4c3,grain yield nutrient supply
2031dca5-1385-4685-aadd-8bd160aab8b1,sowthistle herbicide
69088570-ebdf-4a41-952a-5e87d2c5311a,residual herbicide weed control
3eb7d12e-7b78-4db9-9a2c-79029db98dce,nematode control
d1c8518a-56e5-4d26-b276-5bc8643a0150,flowering period frost risk
3bbd4cde-8a07-4285-a9c1-b77c328434a2,awnless barnyard grass germination
7d874bfb-4361-4da6-9317-a1d41f66b9fd,wheat sowing date central queensland
62482ef9-c21a-4f71-b8b3-bf6f3953eda9,herbicide weed control
1d1ecb2c-2856-4527-83ac-23a79b1b6365,double crop gross margin
e37d3688-a676-4d29-98a8-5cbdd07643e8,Collwell P yield deep placement phosphorus
955130f6-97db-41d1-9b14-c6cd2505d32f,nematode canola
